run_id,batch_id,idx,pair_id,cell_id,flip,benchmark_version,physics_version,prompt_version,spec_fingerprint,model_requested_a,model_requested_b,model_used_a,model_used_b,provider_a,provider_b,seed,weapon,arena,control_mode,sharp,match_length,fallback_policy,voter_tier,latency_ms_a,latency_ms_b,latency_ms_max_a,latency_ms_max_b,prompt_tokens_a,completion_tokens_a,prompt_tokens_b,completion_tokens_b,api_calls_a,api_calls_b,invalid_actions_a,invalid_actions_b,fallback_turns_a,fallback_turns_b,fallback_status,eligibility_status,evidence,status,error,match_id,winner_side,winner_model,method,turns,damage_a,damage_b,wall_s,created
cal-dryrun-2026-09-09,local,31,bot:pro|bot:greedy,bow/ice/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,bot:pro,bot:greedy,bot:pro,scripted,scripted,20260940,bow,ice,joint,arrowhead,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,kill,4,4.9,116.0,0.1,1788951000.0550928
cal-dryrun-2026-09-09,local,32,bot:pro|bot:distance,sword/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260941,sword,normal,macro,tip,sprint,strict,,0.3,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,5.3,5.6,0.1,1788951000.1627192
cal-dryrun-2026-09-09,local,33,bot:pro|bot:distance,sword/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260942,sword,normal,joint,tip,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,5.3,5.6,0.1,1788951000.2956223
cal-dryrun-2026-09-09,local,34,bot:pro|bot:distance,sword/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260943,sword,ice,macro,tip,sprint,strict,,0.3,0.2,0.5,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,0.0,0.0,0.1,1788951000.4328885
cal-dryrun-2026-09-09,local,35,bot:pro|bot:distance,sword/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260944,sword,ice,joint,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,0.0,0.0,0.1,1788951000.5403411
cal-dryrun-2026-09-09,local,36,bot:pro|bot:distance,bow/normal/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260945,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,57.8,4.2,0.1,1788951000.6488078
cal-dryrun-2026-09-09,local,37,bot:pro|bot:distance,bow/normal/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260946,bow,normal,joint,arrowhead,sprint,strict,,0.3,0.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,57.8,4.2,0.1,1788951000.758661
cal-dryrun-2026-09-09,local,38,bot:pro|bot:distance,bow/ice/macro,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260947,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.2,0.4,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,51.5,1.0,0.1,1788951000.8672442
cal-dryrun-2026-09-09,local,39,bot:pro|bot:distance,bow/ice/joint,False,1.0,1.0,2,09de66effd02,bot:pro,bot:distance,bot:pro,bot:distance,scripted,scripted,20260948,bow,ice,joint,arrowhead,sprint,strict,,0.3,0.2,0.3,0.5,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:pro,points,4,51.5,1.0,0.1,1788951000.9765759
cal-dryrun-2026-09-09,local,40,bot:pro|bot:distance,sword/normal/macro,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260949,sword,normal,macro,tip,sprint,strict,,0.2,0.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:distance,points,4,5.0,0.0,0.1,1788951001.0692341
cal-dryrun-2026-09-09,local,41,bot:pro|bot:distance,sword/normal/joint,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260950,sword,normal,joint,tip,sprint,strict,,0.4,0.2,0.7,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:distance,points,4,5.0,0.0,0.1,1788951001.1764147
cal-dryrun-2026-09-09,local,42,bot:pro|bot:distance,sword/ice/macro,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260951,sword,ice,macro,tip,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,0.0,0.0,0.1,1788951001.300946
cal-dryrun-2026-09-09,local,43,bot:pro|bot:distance,sword/ice/joint,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260952,sword,ice,joint,tip,sprint,strict,,0.3,0.2,0.5,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,draw,,timeout_draw,4,0.0,0.0,0.1,1788951001.4065177
cal-dryrun-2026-09-09,local,44,bot:pro|bot:distance,bow/normal/macro,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260953,bow,normal,macro,arrowhead,sprint,strict,,0.2,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,21.4,82.3,0.1,1788951001.4982722
cal-dryrun-2026-09-09,local,45,bot:pro|bot:distance,bow/normal/joint,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260954,bow,normal,joint,arrowhead,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,kill,4,0.0,103.2,0.1,1788951001.5881228
cal-dryrun-2026-09-09,local,46,bot:pro|bot:distance,bow/ice/macro,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260955,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,0.0,97.8,0.1,1788951001.6786578
cal-dryrun-2026-09-09,local,47,bot:pro|bot:distance,bow/ice/joint,True,1.0,1.0,2,09de66effd02,bot:distance,bot:pro,bot:distance,bot:pro,scripted,scripted,20260956,bow,ice,joint,arrowhead,sprint,strict,,0.3,0.2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:pro,points,4,0.0,98.9,0.1,1788951001.7750053
cal-dryrun-2026-09-09,local,48,mock:duelist|bot:greedy,sword/normal/macro,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260957,sword,normal,macro,tip,sprint,strict,,0.3,0.2,0.5,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,points,4,4.6,24.8,0.1,1788951001.87652
cal-dryrun-2026-09-09,local,49,mock:duelist|bot:greedy,sword/normal/joint,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260958,sword,normal,joint,tip,sprint,strict,,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,points,4,58.2,12.4,0.1,1788951001.9712436
cal-dryrun-2026-09-09,local,50,mock:duelist|bot:greedy,sword/ice/macro,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260959,sword,ice,macro,tip,sprint,strict,,0.3,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,points,4,1.3,0.0,0.1,1788951002.0851452
cal-dryrun-2026-09-09,local,51,mock:duelist|bot:greedy,sword/ice/joint,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260960,sword,ice,joint,tip,sprint,strict,,0.0,0.3,0.0,0.4,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,points,4,51.6,2.9,0.2,1788951002.1974547
cal-dryrun-2026-09-09,local,52,mock:duelist|bot:greedy,bow/normal/macro,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260961,bow,normal,macro,arrowhead,sprint,strict,,0.3,0.2,0.3,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,kill,4,101.2,70.1,0.1,1788951002.3554358
cal-dryrun-2026-09-09,local,53,mock:duelist|bot:greedy,bow/normal/joint,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260962,bow,normal,joint,arrowhead,sprint,strict,,0.0,0.3,0.0,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,kill,3,41.6,125.4,0.1,1788951002.464764
cal-dryrun-2026-09-09,local,54,mock:duelist|bot:greedy,bow/ice/macro,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260963,bow,ice,macro,arrowhead,sprint,strict,,0.3,0.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,mock:duelist,kill,4,126.2,72.9,0.1,1788951002.543929
cal-dryrun-2026-09-09,local,55,mock:duelist|bot:greedy,bow/ice/joint,False,1.0,1.0,2,09de66effd02,mock:duelist,bot:greedy,mock:duelist,bot:greedy,scripted,scripted,20260964,bow,ice,joint,arrowhead,sprint,strict,,0.0,1.4,0.0,5.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,bot:greedy,kill,4,79.0,117.2,0.1,1788951002.6532578
cal-dryrun-2026-09-09,local,56,mock:duelist|bot:greedy,sword/normal/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,mock:duelist,bot:greedy,mock:duelist,scripted,scripted,20260965,sword,normal,macro,tip,sprint,strict,,0.3,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,a,bot:greedy,points,4,24.7,5.7,0.1,1788951002.7614045
cal-dryrun-2026-09-09,local,57,mock:duelist|bot:greedy,sword/normal/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,mock:duelist,bot:greedy,mock:duelist,scripted,scripted,20260966,sword,normal,joint,tip,sprint,strict,,0.3,0.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,points,4,10.9,41.4,0.1,1788951002.881004
cal-dryrun-2026-09-09,local,58,mock:duelist|bot:greedy,sword/ice/macro,True,1.0,1.0,2,09de66effd02,bot:greedy,mock:duelist,bot:greedy,mock:duelist,scripted,scripted,20260967,sword,ice,macro,tip,sprint,strict,,0.2,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,points,4,0.0,2.4,0.1,1788951003.0160844
cal-dryrun-2026-09-09,local,59,mock:duelist|bot:greedy,sword/ice/joint,True,1.0,1.0,2,09de66effd02,bot:greedy,mock:duelist,bot:greedy,mock:duelist,scripted,scripted,20260968,sword,ice,joint,tip,sprint,strict,,0.3,0.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,none,ranking_eligible,scripted_baseline,done,,,b,mock:duelist,points,4,2.9,51.4,0.1,1788951003.1334085
